movie_name,describe,introduce,evalute,serial_number,star
肖申克的救赎,希望让人自由。,导演:弗兰克·德拉邦特FrankDarabont主演:蒂姆·罗宾斯TimRobbins/...1994/美国/犯罪剧情,1240142人评价,1,9.6
霸王别姬,风华绝代。,导演:陈凯歌KaigeChen主演:张国荣LeslieCheung/张丰毅FengyiZha...1993/中国大陆香港/剧情爱情同性,913325人评价,2,9.6
这个杀手不太冷,怪蜀黍和小萝莉不得不说的故事。,导演:吕克·贝松LucBesson主演:让·雷诺JeanReno/娜塔莉·波特曼...1994/法国/剧情动作犯罪,1139873人评价,3,9.4
阿甘正传,一部美国近现代史。,导演:RobertZemeckis主演:TomHanks/RobinWrightPenn/GarySinise1994/美国/剧情爱情,977507人评价,4,9.4
美丽人生,最美的谎言。,导演:罗伯托·贝尼尼RobertoBenigni主演:罗伯托·贝尼尼RobertoBeni...1997/意大利/剧情喜剧爱情战争,571407人评价,5,9.5
泰坦尼克号,失去的才是永恒的。 ,导演:詹姆斯·卡梅隆JamesCameron主演:莱昂纳多·迪卡普里奥Leonardo...1997/美国/剧情爱情灾难,913524人评价,6,9.3
千与千寻,最好的宫崎骏，最好的久石让。 ,导演:宫崎骏HayaoMiyazaki主演:柊瑠美RumiHîragi/入野自由Miy...2001/日本/剧情动画奇幻,907667人评价,7,9.3
辛德勒的名单,拯救一个人，就是拯救整个世界。,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:连姆·尼森LiamNeeson...1993/美国/剧情历史战争,513168人评价,8,9.5
盗梦空间,诺兰给了我们一场无法盗取的梦。,导演:克里斯托弗·诺兰ChristopherNolan主演:莱昂纳多·迪卡普里奥Le...2010/美国英国/剧情科幻悬疑冒险,993137人评价,9,9.3
机器人总动员,小瓦力，大人生。,导演:安德鲁·斯坦顿AndrewStanton主演:本·贝尔特BenBurtt/艾丽...2008/美国/爱情科幻动画冒险,659100人评价,10,9.3
忠犬八公的故事,永远都不能忘记你所爱的人。,导演:莱塞·霍尔斯道姆LasseHallström主演:理查·基尔RichardGer...2009/美国英国/剧情,645148人评价,11,9.3
三傻大闹宝莱坞,英俊版憨豆，高情商版谢耳朵。,导演:拉库马·希拉尼RajkumarHirani主演:阿米尔·汗AamirKhan/卡...2009/印度/剧情喜剧爱情歌舞,888623人评价,12,9.2
